OBJECTID	NAMOBJ	REMARK	x	y
1872	Puskesmas/Puskesmas Pembantu Kecamatan Seram Barat	Puskesmas/Puskesmas Pembantu	128.196162252	-3.06320579499999
1873	Puskesmas/Puskesmas Pembantu Kecamatan Seram Barat	Puskesmas/Puskesmas Pembantu	128.201849302	-3.09956663399998
1874	Puskesmas/Puskesmas Pembantu Kecamatan Seram Barat	Puskesmas/Puskesmas Pembantu	128.119276498	-3.06586791500001
1875	Puskesmas/Puskesmas Pembantu Kecamatan Seram Barat	Puskesmas/Puskesmas Pembantu	128.066894457	-3.07884935800001
1876	Puskesmas/Puskesmas Pembantu Kecamatan Kairatu	Puskesmas/Puskesmas Pembantu	128.284856275	-3.218178411
1877	Puskesmas/Puskesmas Pembantu Kecamatan Kairatu	Puskesmas/Puskesmas Pembantu	128.30331552	-3.244706114
1878	Puskesmas/Puskesmas Pembantu Kecamatan Seram Barat	Puskesmas/Puskesmas Pembantu	128.12557558	-2.95814479000001
1879	Puskesmas/Puskesmas Pembantu Kecamatan Taniwel	Puskesmas/Puskesmas Pembantu	128.489292496	-2.84777616000002
1880	NA	Puskesmas/Puskesmas Pembantu	128.008817001	1.77177060999998
1881	NA	Puskesmas/Puskesmas Pembantu	128.031957013	1.568638276
1882	NA	Puskesmas/Puskesmas Pembantu	128.019667408	1.70227677299999
1883	NA	Puskesmas/Puskesmas Pembantu	128.009859573	1.72068008700001
1884	NA	Puskesmas/Puskesmas Pembantu	128.048105098	1.74807279599997
1885	NA	Puskesmas/Puskesmas Pembantu	128.050006886	1.56795910400001
1886	NA	Puskesmas/Puskesmas Pembantu	127.843828148	1.82397476199998
1887	NA	Puskesmas/Puskesmas Pembantu	127.792164148	1.82727830200002
1888	NA	Puskesmas/Puskesmas Pembantu	127.874847209	1.94179360999999
1889	NA	Puskesmas/Puskesmas Pembantu	127.897142858	1.95556663500003
1890	NA	Puskesmas/Puskesmas Pembantu	127.950055551	1.99146689200001
1891	NA	Puskesmas/Puskesmas Pembantu	127.953235222	1.770265403
1892	NA	Puskesmas/Puskesmas Pembantu	127.966674602	1.77018253
1893	NA	Puskesmas/Puskesmas Pembantu	127.971197932	1.76729946199998
1894	NA	Puskesmas/Puskesmas Pembantu	127.985601199	1.76362579099998
1895	NA	Puskesmas/Puskesmas Pembantu	127.761482091	1.98091527399998
1896	NA	Puskesmas/Puskesmas Pembantu	127.721356893	1.94973382799998
1897	NA	Puskesmas/Puskesmas Pembantu	127.69861906	1.91835774899999
1898	NA	Puskesmas/Puskesmas Pembantu	127.666374845	1.87051316399999
1899	NA	Puskesmas/Puskesmas Pembantu	127.652776136	1.82048548400002
1900	NA	Puskesmas/Puskesmas Pembantu	127.861447717	1.57828482000002
